Jumlah Fitur,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
1,0.74,0.03657184709581949,0.71875,0.71875,0.71875,0.73125,0.8125
2,0.8812500000000002,0.04524240267713465,0.8625,0.89375,0.83125,0.85625,0.9625
3,0.99875,0.002499999999999991,0.99375,1.0,1.0,1.0,1.0
4,1.0,0.0,1.0,1.0,1.0,1.0,1.0
5,1.0,0.0,1.0,1.0,1.0,1.0,1.0
6,0.9925,0.01499999999999999,1.0,1.0,0.9625,1.0,1.0
7,0.9925,0.01499999999999999,1.0,1.0,0.9625,1.0,1.0
8,1.0,0.0,1.0,1.0,1.0,1.0,1.0
9,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
11,1.0,0.0,1.0,1.0,1.0,1.0,1.0
12,1.0,0.0,1.0,1.0,1.0,1.0,1.0
13,1.0,0.0,1.0,1.0,1.0,1.0,1.0
14,1.0,0.0,1.0,1.0,1.0,1.0,1.0
15,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16,1.0,0.0,1.0,1.0,1.0,1.0,1.0
17,1.0,0.0,1.0,1.0,1.0,1.0,1.0
18,1.0,0.0,1.0,1.0,1.0,1.0,1.0
19,1.0,0.0,1.0,1.0,1.0,1.0,1.0
20,1.0,0.0,1.0,1.0,1.0,1.0,1.0
21,1.0,0.0,1.0,1.0,1.0,1.0,1.0
22,1.0,0.0,1.0,1.0,1.0,1.0,1.0
23,1.0,0.0,1.0,1.0,1.0,1.0,1.0
